"id_Cliente";"Email";"Contacto_Telefonico";"Morada_id_Morada";"Cartao_Cidadao_id_Cartao_Cidadao"
1;"josefamaria@hotmail.com";916378972;5;1
2;"arieirabruno@gmail.com";912345678;6;2
3;"carlitos_vieira@sapo.iol.pt";946352918;7;3
4;"rafa.machados@hotmail.com";914272387;9;4
5;"ferreira_rodrigo_scp@hotmail.com";952637812;11;5
6;"zecarvalho@hotmail.com";962719823;10;6
7;"deolinda_desfado@yahoo.com";924362374;8;7
8;"loismferraz@sapo.iol.pt";912632534;3;8
9;"neves_diogo@hotmail.com";987654657;4;9
10;"nelsonparente@gmail.com";943758654;2;10
11;"marcos_rodovia@hotmail.com";975143213;1;11
12;"pernetacesario@sapo.iol.pt";952331230;12;12
13;"sophiebravo@sapo.iol.pt";924364712;15;13
14;"pmpereira@gmail.com";987654321;14;14
15;"mariajsoars14@hotmail.com";943657232;13;15
16;"guidarosa@hotmail.com";987623834;20;16
17;"meiradioguinho@gmail.com";969234573;18;17
18;"tiago_nandes@hotmail.com";967854621;16;18
19;"anarita_parente@yahoo.com";921198374;17;19
20;"lilivenade@hotmail.com";912746823;19;20
21;"quinadascostas@gmail.com";923345211;25;21
22;"nelsonfarias@yahoo.com";924874365;21;22
23;"leitao_daniel@yahoo.com";976433423;26;23
24;"arigato_marquicos@sapo.iol.pt";976547581;23;24
25;"rodrigo_dos_carvalhos@gmail.com";989762823;22;25
26;"abelhudo123@gmail.com";967587665;10;26
27;"lara_desfado@hotmail.com";934657878;9;27
28;"carvalho_hugo@gmail.com";923425112;27;28
29;"queiros_didi@yahoo.com";939653545;24;29
30;"nelsondesousa@hotmail.com";986423437;6;30
31;"joel1995@hotmail.com";967435212;13;31
32;"pernas_carlos@gmail.com";974212323;29;32
33;"palmeira_sofia@sapo.iol.pt";985151357;30;33
34;"pedro_costado@sapo.iol.pt";984562131;27;34
35;"joaninho.maria@yahoo.com";923145689;13;35
36;"guidinha_areias@hotmail.com";984562313;17;36
37;"dudu_lima@gmail.com";954673284;19;37
38;"soares_dos_frangos@gmail.com";979896743;5;38
39;"ana.vairita@sapo.iol.pt";934534678;29;39
40;"lili_dospresuntos@hotmail.com";908987324;28;40
