id_Cliente,Email,NºCartao_Debito,Contacto_Telefonico,Morada_id_Morada,Cartao_Cidadao_id_Cartao_Cidadao
1,josefamaria@hotmail.com,1237659871234567,916378972,5,1
2,arieirabruno@gmail.com,9876543456273894,912345678,6,2
3,carlitos_vieira@sapo.iol.pt,1928347918724329,946352918,7,3
4,rafa.machados@hotmail.com,8764524708774382,914272387,9,4
5,ferreira_rodrigo_scp@hotmail.com,9879384292047548,952637812,11,5
6,zecarvalho@hotmail.com,5468983473298499,962719823,10,6
7,deolinda_desfado@yahoo.com,9283748273948787,924362374,8,7
8,loismferraz@sapo.iol.pt,9237498579348758,912632534,3,8
9,neves_diogo@hotmail.com,2312848273483743,987654657,4,9
10,nelsonparente@gmail.com,9874324234234234,943758654,2,10
11,marcos_rodovia@hotmail.com,2873423199473312,975143213,1,11
12,pernetacesario@sapo.iol.pt,1823534621772131,952331230,12,12
13,sophiebravo@sapo.iol.pt,7987165423415267,924364712,15,13
14,pmpereira@gmail.com,1234518782398112,987654321,14,14
15,mariajsoars14@hotmail.com,8276418782723123,943657232,13,15
16,guidarosa@hotmail.com,6234623576128761,987623834,20,16
17,meiradioguinho@gmail.com,2187687648819890,969234573,18,17
18,tiago_nandes@hotmail.com,2093872875817987,967854621,16,18
19,anarita_parente@yahoo.com,4545645938032032,921198374,17,19
20,lilivenade@hotmail.com,3214553466753237,912746823,19,20
21,quinadascostas@gmail.com,4657654871232345,923345211,25,21
22,nelsonfarias@yahoo.com,6789312314231212,924874365,21,22
23,leitao_daniel@yahoo.com,8734655314312315,976433423,26,23
24,arigato_marquicos@sapo.iol.pt,8623341231439081,976547581,23,24
25,rodrigo_dos_carvalhos@gmail.com,9653825313522237,989762823,22,25
26,abelhudo123@gmail.com,8587155454312353,967587665,10,26
27,lara_desfado@hotmail.com,6812338798795112,934657878,9,27
28,carvalho_hugo@gmail.com,3756164315212339,923425112,27,28
29,queiros_didi@yahoo.com,7845612317123112,939653545,24,29
30,nelsondesousa@hotmail.com,1998795165132134,986423437,6,30
31,joel1995@hotmail.com,1231654984951654,967435212,13,31
32,pernas_carlos@gmail.com,3357879595163241,974212323,29,32
33,palmeira_sofia@sapo.iol.pt,7894563216548795,985151357,30,33
34,pedro_costado@sapo.iol.pt,3879842651543572,984562131,27,34
35,joaninho.maria@yahoo.com,9879595535798456,923145689,13,35
36,guidinha_areias@hotmail.com,4567890987654567,984562313,17,36
37,dudu_lima@gmail.com,7654567898765679,954673284,19,37
38,soares_dos_frangos@gmail.com,6542723820614092,979896743,5,38
39,ana.vairita@sapo.iol.pt,4237276323532353,934534678,29,39
40,lili_dospresuntos@hotmail.com,8767890987656789,908987324,28,40
